track_name,track_number,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,album_type,track_duration_min
My Girl,1,66,0,71,2569728,1,2,2.95
Talk Tonight,1,41,0,27,3665,2,2,3.1
d£aler,1,75,1,77,1460038,3,2,2.67
End Of Summer,1,72,0,84,9509731,1,2,7.2
Girlie-Pop!,1,34,0,64,577324,2,2,2.06
12 to 12,1,85,0,85,2802094,1,2,4.04
To Be Free,1,61,0,81,26278854,1,2,4.25
Too Toxic,1,41,0,23,2754,1,2,2.43
Kinda Like,1,45,0,40,4550,1,2,2.72
Na Sua Estação,1,13,0,2,42,1,2,3.41
Sugar On My Tongue,2,90,1,86,24420596,10,0,2.55
Surrender,1,48,1,58,146969,1,2,2.72
third degree,1,41,1,36,32967,3,2,3.13
Time,1,18,0,4,810,1,2,2.78
used to,1,34,0,46,173092,1,2,3.46
Eternity,1,87,0,84,2885506,21,0,3.15
All This Time,1,65,0,66,306513,1,2,3.73
This is the Killer Speaking,1,59,1,66,668762,1,2,4.91
Happy Then,1,48,0,45,754,1,2,2.05
I Can’t Lose,1,62,0,75,7761454,1,2,3.05
Perfectly,1,57,0,63,1441722,1,2,3.84
Vim Ti Agradecer,1,16,0,14,979,1,2,4.74
WANT U,1,43,0,52,21811,3,2,2.59
Real Love,1,36,0,27,268,1,2,3.89
SOULFUL,9,59,1,91,85034636,21,0,0.61
STANDING ON BUSINESS,16,57,1,91,85008100,21,0,0.83
GLORY VOICE MEMO,11,61,0,91,85022258,21,0,1.4
GO BABY,4,75,0,91,85034636,21,0,3.24
i lied,1,59,1,49,19227,3,2,2.76
i'm still alone,1,47,1,29,546,3,2,2.62
JUMP,1,90,0,81,56152334,1,2,2.74
405,17,63,0,91,85008100,21,0,3.54
ALL I CAN TAKE,1,71,0,91,85050158,21,0,4.12
Alright,1,45,0,36,5521,1,2,3.36
BUTTERFLIES,6,67,0,91,85008100,21,0,3.22
no one ever warns you,1,32,0,15,2381,1,2,3.25
Out Of The Dark,1,52,0,35,5813,1,2,2.53
SWAG,18,65,1,91,85008100,21,0,2.5
SWEET SPOT,15,66,1,91,85022258,21,0,3.08
THERAPY SESSION,14,58,1,91,85022258,21,0,1.31
THINGS YOU DO,5,70,0,91,85022258,21,0,1.8
TOO LONG,20,65,1,91,85008100,21,0,3.07
Vodka Cranberry,1,72,0,79,12428221,2,2,4.09
WALKING AWAY,10,74,1,91,85008100,21,0,4.06
WAY IT IS,7,71,0,91,85008100,21,0,3.25
YUKON,3,86,0,91,85034636,21,0,2.73
ZUMA HOUSE,19,59,0,91,85008100,21,0,1.38
Crash the Car,1,23,0,11,1182,3,2,3.07
DADZ LOVE,13,61,0,91,85008100,21,0,2.41
DAISIES,2,91,0,91,85008100,21,0,2.94
DEVOTION,12,72,0,91,85008100,21,0,3.9
Eu confio em Deus,1,19,0,5,37,1,2,5.01
FIRST PLACE,8,65,0,91,85008100,21,0,3.34
FORGIVENESS,21,57,0,47,168546,21,0,1.51
6 foot with my boots on,1,39,0,37,11588,1,2,2.87
u wanted me,1,38,0,21,169,3,2,2.01
Survive,1,78,0,79,14043382,1,2,3.75
Sweat On Your Skin,1,53,1,48,8682,3,2,2.33
Sweat On Your Skin - Slowed,2,46,1,49,8802,3,2,2.47
undertones (therapy on my wishlist),1,45,0,35,11991,2,2,2.47
David,11,78,0,80,10541250,11,0,3.41
Dirty Work (feat. Flo Milli),2,54,1,76,9769257,4,2,3.0
Last One To Know,1,72,0,71,476523,2,2,2.95
Always Love featuring Hyunjin (Stray Kids),1,72,0,79,4683168,1,2,3.3
Beach Babe,1,44,0,35,729,3,2,3.55
Casual,1,34,1,40,2157,1,2,3.76
Meant To Be,1,47,0,58,146969,1,2,2.95
On My Mind,1,70,0,84,2885506,1,2,3.15
not a love song,1,52,1,55,68408,3,2,3.1
F1,1,63,0,77,4780589,32,0,3.22
Free,8,91,0,72,220991,12,0,3.13
Gabriela,1,92,0,82,5242034,2,2,3.28
Not Like That Anymore,1,64,1,77,1461346,2,2,3.37
Outside,1,67,1,81,25956015,1,2,3.44
Phantom,8,82,1,74,253650,11,0,1.82
Soda Pop,3,94,0,80,2234812,12,0,2.51
Strategy,5,84,0,83,23342437,12,0,2.81
Takedown,6,91,0,87,3568209,12,0,3.03
"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",1,86,0,83,23326731,12,0,3.01
What It Sounds Like,9,92,0,87,3568209,12,0,4.17
6 Months Later,1,76,0,73,1163610,1,2,3.04
All over me,2,52,0,65,1436277,15,0,3.37
Golden,4,99,0,87,3551538,12,0,3.24
How It’s Done,2,93,0,87,3535849,12,0,2.93
You Don't,1,43,0,34,1693,3,2,2.36
Your Idol,7,93,0,80,2234812,12,0,3.19
Wide Open Spaces,12,49,0,47,505,12,0,2.33
Perfect Timing,1,36,1,24,162,7,0,3.42
Should've Been A Cowboy,6,50,0,47,509,12,0,2.25
Cruise,7,46,0,47,491,12,0,3.44
Drink In My Hand,2,48,0,47,505,12,0,3.16
Dust On The Bottle,4,50,0,47,491,12,0,3.56
"Forever And Ever, Amen",10,48,0,47,491,12,0,3.13
Neon Moon,5,48,0,47,498,12,0,2.6
It's A Great Day To Be Alive,3,48,0,47,505,12,0,2.43
Til I'm Blue,4,48,0,45,28641,9,0,3.42
Wagon Wheel,11,49,0,47,505,12,0,2.32
Bad Habits,5,36,1,24,162,7,0,3.07
Before He Cheats,9,45,0,47,505,12,0,2.45
Boot Scootin' Boogie,8,48,0,47,491,12,0,2.56
Chasin’ a Mil,2,30,1,24,162,7,0,3.2
Chattahoochee,1,48,0,47,491,12,0,2.1
Bleed,1,43,1,37,8703,3,2,2.54
Time,1,14,0,12,402,2,2,2.81
Never Let This Go,2,21,0,27,1978,3,2,2.78
Hachikō,1,59,0,74,4571036,1,2,4.5
Folded,1,88,0,78,8661889,1,2,3.96
BF,1,42,0,24,679,1,2,2.75
Centerfold,1,40,1,22,64,1,2,3.07
Aquamarine,4,70,0,74,1366758,12,0,2.71
Broken Halo,1,35,0,41,11030,1,2,2.42
Headphones On,12,70,0,74,1366758,12,0,4.0
In The Rain,8,68,0,74,1364231,12,0,3.56
Couldn't Wait For You,1,44,0,34,2657,1,2,3.33
CUNTISSIMO,3,64,1,72,6114655,13,0,4.01
Diet Pepsi,2,82,0,74,1364231,12,0,2.82
Fame is a Gun,9,80,0,74,1364231,12,0,3.05
Fight Like A Girl (feat. K.Flay),1,50,0,75,6165678,1,2,3.1
LIKE YOU DO,1,39,0,45,50314,1,2,3.83
Love Again,1,38,0,27,3666,1,2,3.24
No Broke Boys,1,92,1,75,275333,1,2,2.73
Times Like These,10,67,0,74,1364231,12,0,3.87
Sapphire,1,83,0,88,122802777,1,2,2.98
Manchild,1,86,1,91,26516295,1,2,3.56
LEMON NOD,1,39,1,37,103691,1,2,1.9
